Country;Year;Growth_of_Islamic_banks;Regulatory_Enforcement;Bureaucratic_Quality;GDP_Perkapita_Rev;Inflation;GDP_Growth
Bangladesh;2015;115367;-0.92;-0.75;195146;6.2;6.55
Bangladesh;2016;147801;-0.81;-0.71;265224;5.5;4.59
Bangladesh;2017;137910;-0.82;-0.75;293732;5.7;6.59
Bangladesh;2018;160980;-0.85;-0.76;321362;5.5;7.32
Bangladesh;2019;189605;-0.94;-0.75;351231;5.6;7.88
Bangladesh;2020;226521;-0.91;-0.78;373979;5.7;3.45
Bangladesh;2021;246922;-0.85;-0.65;416271;5.5;6.94
Bangladesh;2022;345721; -0.93;-0.76;460131;9.9;7.10
Bangladesh;2023;761950;-0.91;-0.70;437415;10.5;5.78
Indonesia;2015;66497;-0.16;-0.33;860854;6.4;4.88
Indonesia;2016;76646;-0.03;-0.05;931877;3.5;4.57
Indonesia;2017;96907;0.03;-0.02;1015616;3.8;4.58
Indonesia;2018;126695;-0.02;0.14;1042271;3.2;5.17
Indonesia;2019;152853;0.03;0.14;1119090;3;4.56
Indonesia;2020;176991;0.22;0.32;1059054;1.9;-2.07
Indonesia;2021;192591;0.29;0.35;1186509;1.6;3.70
Indonesia;2022;216254;0.21;0.44;1319076;4.2;5.31
Indonesia;2023;240062;0.30;0.58;1371171;3.7;4.57
Nigeria;2015;52371476;-0.89;-1.0;493026;9;2.65
Nigeria;2016;66287532;-0.94;-1.12;404649;15.7;-1.62
Nigeria;2017;84718091;-0.92;-1.04;375745;16.5;0.81
Nigeria;2018;102220863;-0.88;-1.12;421739;12.1;1.92
Nigeria;2019;150714985;-0.94;-1.21;474517;11.4;2.21
Nigeria;2020;242598104;-1.02;-1.14;432198;13.2;-1.79
Nigeria;2021;358055662;-0.94;-1.03;440833;17;3.65
Nigeria;2022;589237915;-1.16;-1.04;477403;18.8;3.25
Nigeria;2023;1065840416;-0.94;-0.85;363846;24.7;2.86
Pakistan;2015;526494;-0.65;-0.71;299963;2.5;4.22
Pakistan;2016;642942;-0.66;-0.7;313630;3.8;6.57
Pakistan;2017;761555;-0.61;-0.63;339205;4.1;4.43
Pakistan;2018;973274;-0.67;-0.67;356128;5.1;6.15
Pakistan;2019;1154849;-0.69;-0.72;320909;10.6;2.50
Pakistan;2020;1428553;-0.76;-0.57;300425;9.7;-1.27
Pakistan;2021;1939357;-0.76;-0.44;348516;9.5;6.51
Pakistan;2022;2789985;-0.89;-0.62;374890;19.9;4.78
Pakistan;2023;2985169;-0.90;-0.58;337912;30.8;-0.04
Turkey;2015;111526;0.27;0.2;864313;7.7;4.58
Turkey;2016;122375;0.19;-0.01;869682;7.8;3.32
Turkey;2017;139586;0.04;0.01;858988;11.1;7.50
Turkey;2018;176657;0.02;-0.07;778972;16.3;4.56
Turkey;2019;231652;-0.02;-0.02;761005;15.2;0.82
Turkey;2020;342903;-0.02;-0.16;720338;12.3;1.86
Turkey;2021;482931;-0.10;-0.12;819865;19.6;11.44
Turkey;2022;872002;-0.24;-0.2;907118;72.3;5.53
Turkey;2023;1438823;-0.23;-0.25;1118252;53.9;4.51
Afghanistan;2015;10589;-1.02;-1.40;19134;-0.7;1.45
Afghanistan;2016;16228;-1.34;-1.29;18117;4.4;2.26
Afghanistan;2017;15868;-1.36;-1.39;18753;5.0;2.65
Afghanistan;2018;17046;-1.14;-1.50;18053;0.6;1.19
Afghanistan;2019;16347;-1.11;-1.52;18799;2.3;3.91
Afghanistan;2020;16999;-1.39;-1.61;19956;5.6;-2.35
Afghanistan;2021;17528;-1.31;-1.67;14260;5.1;-20.74
Afghanistan;2022;16448;-1.27;-1.88;14497;13.7;-6.24
Afghanistan;2023;23685;-1.27;-1.99;17233;-4.6;2.71
Oman;2015;1256037;0.56;0.04;78711;0.1;4.56
Oman;2016;1844379;0.60;0.14;75129;1.1;4.55
Oman;2017;2290029;0.41;0.13;80857;1.6;0.30
Oman;2018;2583877;0.16;0.13;91506;0.9;1.29
Oman;2019;2886752;0.28;0.21;88061;0.5;-1.13
Oman;2020;2971947;0.44;0.10;75909;-0.4;-3.38
Oman;2021;3221084;0.32;-0.16;87324;1.7;2.58
Oman;2022;3533985;0.43;0.02;111944;2.5;9.58
